Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0594598205532223,-0.0015842856425926,0.0039525034897561,0,0,0,0.057306287534207,2.52783043941087E-05,-1.2347667663155E-06,1.25352117107528E-06,3.34484178513287E-05,-4.62074104438876E-07,5.18958623113505E-05,0,0,0,0,0,0,package://ap002/meshes_r/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/base_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/00-手掌-总装.step-1/00-手掌-总装(2).step-1/六轴力控手-右-手掌上壳.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/1.0302.0000016 手掌下壳.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/1.0302.0000047 手腕连接件.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/1.0405.0000002 绝缘片.step-1;_0006_ASM_R-241127(2)_R-241127.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/1.0401.0000027 背板.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/1.0302.0000020 四指底座.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/1.0302.0000020 四指底座.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/1.0302.0000020 四指底座.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-小指组件-AY_丝杆最大行程.step-1/小指组件-AY_正常.step-1/1.0302.0000020 四指底座.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/右手大拇指组件-AY_张开.step-1/0013_ASM__0001_ASM_R-241127(2)_R-241127.step-1/__10003_0013_ASM__0001_ASM_R-241127(2)_R-241127.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/右手大拇指组件-AY_张开.step-1/0013_ASM__0001_ASM_R-241127(2)_R-241127.step-1/__10002_0013_ASM__0001_ASM_R-241127(2)_R-241127.step-1,base_joint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
if_slider_link,-0.013831635575345,-0.0011545530684645,1.1122339508866E-06,0,0,0,0.000489119055648473,4.60380697168459E-09,-2.8128897761249E-09,-3.76292930091522E-12,3.82310039480031E-08,-7.16455465763657E-11,3.92701543887399E-08,0,0,0,0,0,0,package://ap002/meshes_r/if_slider_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/if_slider_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-3.step-1/0004__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1,if_slider_joint,if_slider_axis,if_slider_link,prismatic,-0.074395,-0.026653,-0.0060564,0,0,0,base_link,0.99655,0.083049,0,0,0,0,0.019,,,,,,,,
if_slider_abpart_link,-0.010792647724601,0.00265319451394757,-0.000308383767089316,0,0,0,0.000420507474301528,1.79113566177014E-09,-2.66197006137322E-10,-7.33607685710042E-10,5.74486186201519E-09,-1.00318125028106E-10,6.20458102255467E-09,0,0,0,0,0,0,package://ap002/meshes_r/if_slider_abpart_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/if_slider_abpart_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-3.step-1/0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/四指连接件A.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-3.step-1/_STEP0001__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-3.step-1/0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/花键轴.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-3.step-1/_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/_6-R-231011--726080001__20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-3.step-1/_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/电机连杆转轴.step-1,if_slider_abpart_joint,if_slider_abpart_axis,if_slider_abpart_link,continuous,-0.02861,-0.0058839,-0.00030477,0,0,0,if_slider_link,-0.082734,0.99276,0.087135,,,,,,,,,,,,
if_proximal_link,-0.0180496830837503,0.00589050272117256,-0.0016252587541568,0,0,0,0.00193521233547978,1.04823092063102E-07,-1.16863992115951E-08,1.1721870188583E-08,2.31533842911005E-07,6.3654906820491E-10,2.36422926954926E-07,0,0,0,0,0,0,package://ap002/meshes_r/if_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/if_proximal_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/1.0302.0000021 食指中段.step-1,if_proximal_joint,if_proximal_axis,if_proximal_link,continuous,-0.1124,-0.03777,0.001883,0,0,0,base_link,-0.082734,0.99276,0.087135,,,,,,,,,,,,
if_distal_link,-0.0186866910849812,0.00656468989543482,-0.00500003873557305,0,0,0,0.00368602257322728,1.15567101384938E-07,-2.38632253926633E-08,-1.5672247820983E-07,5.69984292039066E-07,-9.93898168295336E-09,5.39365446688757E-07,0,0,0,0,0,0,package://ap002/meshes_r/if_distal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/if_distal_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/AY-中指指尖装配体-20250926.step-1/1.0302.0000135 中指底座-20250929.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/AY-中指指尖装配体-20250926.step-1/1.0401.0000223 中指后盖-0.8均匀壁厚-20251009.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/AY-中指指尖装配体-20250926.step-1/1.0401.0000223 中指后盖-0.6壁厚加过坡-20250930.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/AY-中指指尖装配体-20250926.step-1/00_AY_MF_SILICON_ASM_1-20250818.step-1/0_AY_MF_SILICON_ASM_1-20250818.step-1/0_AY_MF_SILICON02_1-20250818.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/1.0301.0000034 销轴.step-2;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/1.0306.0000006 C型卡簧.step-4;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/1.0301.0000014 轴套.step-10;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/1.0301.0000035 销轴.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/1.0306.0000006 C型卡簧.step-2,if_distal_joint,if_distal_axis,if_distal_link,continuous,-0.035686,-0.0031445,-0.0026473,0,0,0,if_proximal_link,-0.082734,0.99276,0.087135,,,,,,,,,,,,
if_connecting_link,-0.0154547065444537,0.00429075193695488,-0.00732542559443374,0,0,0,0.000200341201168565,5.08501796821968E-09,-9.24050156786457E-10,-1.00007977652606E-08,2.66632993605147E-08,-3.92736100379404E-10,2.16847259198347E-08,0,0,0,0,0,0,package://ap002/meshes_r/if_connecting_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/if_connecting_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/1.0306.0000009 食指连杆.step-2;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-食指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_食指.step-1/1.0306.0000009 食指连杆.step-1,if_connecting_joint,if_connecting_axis,if_connecting_link,continuous,-0.11996,-0.036485,0.0064667,0,0,0,base_link,-0.082734,0.99276,0.087135,,,,,,,,,,,,
mf_slider_link,-0.013878589215898,-0.000185360259151651,2.0772729893842E-08,0,0,0,0.000489121840418294,4.3758951711753E-09,-4.42888910334709E-10,-1.35618839672741E-11,3.84534016481485E-08,-3.22383868727002E-13,3.927712225522E-08,0,0,0,0,0,0,package://ap002/meshes_r/mf_slider_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/mf_slider_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程.step-1/0004__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1,mf_slider_joint,mf_slider_axis,mf_slider_link,prismatic,-0.076975,-0.010074,-0.0017885,0,0,0,base_link,0.99991,0.013228,0.00010039,0,0,0,0.019,,,,,,,,
mf_slider_abpart_link,-0.0105797055527552,0.00336041304794029,-0.000627111683056484,0,0,0,0.000420507674539902,1.77668777307623E-09,-5.2594692149351E-11,-7.47072340493542E-10,5.7575430390576E-09,-9.92059123287959E-12,6.20634747073677E-09,0,0,0,0,0,0,package://ap002/meshes_r/mf_slider_abpart_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/mf_slider_abpart_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程.step-1/_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/电机连杆转轴.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程.step-1/_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/_6-R-231011--726080001__20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程.step-1/0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/四指连接件A.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程.step-1/_STEP0001__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程.step-1/0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/花键轴.step-1,mf_slider_abpart_joint,mf_slider_abpart_axis,mf_slider_abpart_link,continuous,-0.028951,-0.0038841,0,0,0,0,mf_slider_link,-0.013228,0.99991,7.2594E-05,,,,,,,,,,,,
mf_proximal_link,-0.0196712052006721,0.00734062699292744,-0.00259302539500836,0,0,0,0.00237725114711697,1.38388623202142E-07,-2.95839181890821E-09,1.62802421566863E-08,3.62176667266172E-07,2.15550472391916E-10,3.530672461481E-07,0,0,0,0,0,0,package://ap002/meshes_r/mf_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/mf_proximal_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/1.0302.0000022 中指中段.step-1,mf_proximal_joint,mf_proximal_axis,mf_proximal_link,continuous,-0.11567,-0.018188,0.006807,0,0,0,base_link,-0.013228,0.99991,7.2594E-05,,,,,,,,,,,,
mf_distal_link,-0.0187159062113693,0.00651053186668944,-0.00360333975244769,0,0,0,0.00368154775103648,8.47473570056372E-08,-6.04987005071786E-09,-1.05750736091708E-07,5.71017111655885E-07,-1.10457785075032E-09,5.69132142679589E-07,0,0,0,0,0,0,package://ap002/meshes_r/mf_distal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/mf_distal_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/AY-中指指尖装配体-20250926.step-1/1.0401.0000223 中指后盖-0.8均匀壁厚-20251009.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/AY-中指指尖装配体-20250926.step-1/1.0401.0000223 中指后盖-0.6壁厚加过坡-20250930.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/AY-中指指尖装配体-20250926.step-1/1.0302.0000135 中指底座-20250929.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/AY-中指指尖装配体-20250926.step-1/00_AY_MF_SILICON_ASM_1-20250818.step-1/0_AY_MF_SILICON_ASM_1-20250818.step-1/0_AY_MF_SILICON02_1-20250818.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/1.0301.0000034 销轴.step-2;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/1.0306.0000006 C型卡簧.step-3;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/1.0301.0000035 销轴.step-2;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/1.0306.0000006 C型卡簧.step-4,mf_distal_joint,mf_distal_axis,mf_distal_link,continuous,-0.040926,0.00035348,-0.0027079,0,0,0,mf_proximal_link,-0.013228,0.99991,7.2594E-05,,,,,,,,,,,,
mf_connecting_link,-0.0178847893084422,0.00466439504695792,-0.00781702876841565,0,0,0,0.000215108929572691,5.1295955899467E-09,-4.24956542666923E-10,-1.23172951675142E-08,3.7315139310925E-08,-1.62572798752036E-10,3.22197088893095E-08,0,0,0,0,0,0,package://ap002/meshes_r/mf_connecting_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/mf_connecting_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/1.0306.0000008 中指连杆.step-2;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-中指组件-AY_丝杆最大行程.step-1/中指装配体（AY压力传感器）_带压力传感器.step-1/1.0306.0000008 中指连杆.step-1,mf_connecting_joint,mf_connecting_axis,mf_connecting_link,continuous,-0.12313,-0.015587,0.011207,0,0,0,base_link,-0.013228,0.99991,7.2594E-05,,,,,,,,,,,,
rf_slider_link,-0.0138577099866242,0.000783240109712953,9.4562735732974E-08,0,0,0,0.000489121825321797,4.4800833093081E-09,1.9328151343956E-09,-1.33692628805878E-11,3.83492121046672E-08,6.08450900358193E-13,3.92771210371841E-08,0,0,0,0,0,0,package://ap002/meshes_r/rf_slider_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/rf_slider_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-2.step-1/0004__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1,rf_slider_joint,rf_slider_axis,rf_slider_link,prismatic,-0.074498,0.007252,-0.0025334,0,0,0,base_link,0.9984,-0.056557,9.5082E-05,0,0,0,0.019,,,,,,,,
rf_slider_abpart_link,-0.0103201446384482,0.00409029051149556,-0.000616318011104863,0,0,0,0.000420507290587519,1.78721915567324E-09,2.25029339607063E-10,-7.41421655425381E-10,5.74548024914982E-09,4.19594802448141E-11,6.20786455811119E-09,0,0,0,0,0,0,package://ap002/meshes_r/rf_slider_abpart_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/rf_slider_abpart_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-2.step-1/_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/电机连杆转轴.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-2.step-1/_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/_6-R-231011--726080001__20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-2.step-1/0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/花键轴.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-2.step-1/_STEP0001__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/四指齿轮箱电机组件_丝杆最大行程-2.step-1/0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.step-1/四指连接件A.step-1,rf_slider_abpart_joint,rf_slider_abpart_axis,rf_slider_abpart_link,continuous,-0.029152,-0.0018551,0,0,0,0,rf_slider_link,0.056557,0.9984,7.942E-05,,,,,,,,,,,,
rf_proximal_link,-0.0170399835117028,0.008577218731606,-0.0022620810008822,0,0,0,0.00193519161707551,1.04171019954854E-07,7.261503701644E-09,1.17493911846194E-08,2.32150566180671E-07,-6.67690489157907E-10,2.36451566833841E-07,0,0,0,0,0,0,package://ap002/meshes_r/rf_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/rf_proximal_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/1.0302.0000021 食指中段.step-1,rf_proximal_joint,rf_proximal_axis,rf_proximal_link,continuous,-0.11367,0.001857,0.0060623,0,0,0,base_link,0.056557,0.9984,7.942E-05,,,,,,,,,,,,
rf_distal_link,-0.0176161555862342,0.00863806039183797,-0.00568724449639809,0,0,0,0.0036860282462005,1.16277853163683E-07,2.61176403176225E-08,-1.5740106043389E-07,5.69604698080497E-07,9.25420409589483E-09,5.39039591903928E-07,0,0,0,0,0,0,package://ap002/meshes_r/rf_distal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap002/meshes_r/rf_distal_link.STL,,六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/AY-中指指尖装配体-20250926.step-1/1.0302.0000135 中指底座-20250929.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/AY-中指指尖装配体-20250926.step-1/1.0401.0000223 中指后盖-0.6壁厚加过坡-20250930.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/AY-中指指尖装配体-20250926.step-1/1.0401.0000223 中指后盖-0.8均匀壁厚-20251009.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/AY-中指指尖装配体-20250926.step-1/00_AY_MF_SILICON_ASM_1-20250818.step-1/0_AY_MF_SILICON_ASM_1-20250818.step-1/0_AY_MF_SILICON02_1-20250818.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/1.0301.0000034 销轴.step-2;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/1.0306.0000006 C型卡簧.step-4;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/1.0301.0000014 轴套.step-10;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/1.0301.0000035 销轴.step-1;六轴力控灵巧手手部组件-AY_丝杆最大行程.step-1/六轴力控灵巧手-无名指组件-AY_丝杆最大行程.step-1/食指无名指组件-AY_无名指.step-1/1.0306.0000006 C型卡簧.step-2,rf_distal_joint,rf_distal_axis,rf_distal_link,continuous,-0.035767,0.0020263,-0.0026255,0,0,0,rf_proximal_link,0.056557,0.9984,7.942E-05,,,,,,,,,,,,
